course_id,course_semester,course_subject_id,course_name_ch,course_name_en,course_teacher,course_credit,course_begin_time,course_end_time,course_weekday,location_id,course_dept,course_type,general_category,central_general,course_maxnum
,,000211012,政治學,Political science,蔡中民,3.0,wed09-12 wed 09 10 11,,,大勇210104,政治系,必/Required,,否/No,
,,000213002,經濟學,Economics,王國樑、李為,2.0,wed16-18 wed 16 17,,,大勇210103,經濟系,必/Required,,否/No,
,,000213012,經濟學,Economics,丁秀吟,2.0,wed10-12 wed 10 11,,,大勇210201,經濟系,必/Required,,否/No,
,,000215012,貨幣銀行學,Money and Banking,方中柔,3.0,fri09-12 fri 09 10 11,,,綜合270113,經濟系,必/Required,,否/No,
,,000215022,貨幣銀行學,Money and Banking,林馨怡,3.0,mon13-16 mon 13 14 15,,,大勇210105,經濟系,必/Required,,否/No,
,,000215032,貨幣銀行學,Money and Banking,蕭明福,3.0,thu13-16 thu 13 14 15,,,大勇210106,經濟系,必/Required,,否/No,
,,000215042,貨幣銀行學,Money and Banking,賴廷緯,3.0,fri09-12 fri 09 10 11,,,綜合270412,經濟系,必/Required,,否/No,
,,000216001,社會學,Sociology,姜以琳,3.0,thu13-16 thu 13 14 15,,,大勇210205,社會系,選/Elective,,否/No,
,,000217002,個體經濟學,Microeconomics,江品慧,3.0,tue09-12 tue 09 10 11,,,綜合270412,經濟系,必/Required,,否/No,
,,000217012,個體經濟學,Microeconomics,陳鎮洲,3.0,wed09-12 wed 09 10 11,,,資訊140306,經濟系,必/Required,,否/No,
,,000217022,個體經濟學,Microeconomics,李慧琳,3.0,mon13-16 mon 13 14 15,,,綜合270203,經濟系,必/Required,,否/No,
,,000217032,個體經濟學,Microeconomics,徐麗振,3.0,tue13-16 tue 13 14 15,,,綜合270415,經濟系,必/Required,,否/No,
,,000217042,個體經濟學,Microeconomics,黃柏鈞,3.0,wed13-16 wed 13 14 15,,,大勇210105,經濟系,必/Required,,否/No,
,,000218002,總體經濟學,Macroeconomics,莊奕琦,3.0,thu13-16 thu 13 14 15,,,綜合270309,經濟系,必/Required,,否/No,
,,000218022,總體經濟學,Macroeconomics,蕭明福,3.0,thu09-12 thu 09 10 11,,,研究250103,經濟系,必/Required,,否/No,
,,000218042,總體經濟學,Macroeconomics,黃明聖,3.0,tue09-12 tue 09 10 11,,,大勇210104,經濟系,必/Required,,否/No,
,,000219002,經濟學,Economics,朱美麗,3.0,wed09-12 wed 09 10 11,,,綜合270114,經濟系,必/Required,,否/No,
,,000219012,經濟學,Economics,朱美麗,3.0,thu09-12 thu 09 10 11,,,綜合270751,經濟系,必/Required,,否/No,
,,000219032,經濟學,Economics,王信實,3.0,fri09-12 fri 09 10 11,,,綜合270309,經濟系,必/Required,,否/No,
,,000219042,經濟學,Economics,陳心蘋,3.0,thu13-16 thu 13 14 15,,,大智190305,經濟系,必/Required,,否/No,
,,000219062,經濟學,Economics,林祖嘉,3.0,tue09-12 tue 09 10 11,,,綜合270315,經濟系,必/Required,,否/No,
,,000219082,經濟學,Economics,廖郁萍,3.0,fri09-12 fri 09 10 11,,,大仁200101,經濟系,必/Required,,否/No,
,,000219112,經濟學,Economics,彭喜樞,3.0,wed13-16 wed 13 14 15,,,綜合270114,經濟系,必/Required,,否/No,
,,000219122,經濟學,Economics,黃智聰,3.0,mon13-16 mon 13 14 15,,,綜合270114,經濟系,必/Required,,否/No,
,,000219512,經濟學,Economics,吳文傑,3.0,mon13-16 mon 13 14 15,,,大勇210103,國貿系,必/Required,,否/No,
,,000219522,經濟學,Economics,郭炳伸,3.0,mon14-17 mon 14 15 16,,,寶來國際廳,國貿系,必/Required,,否/No,
,,000219532,經濟學,Economics,林信助,3.0,tue09-12 tue 09 10 11,,,大勇210103,國貿系,必/Required,,否/No,
,,000219542,經濟學,Economics,鄭鴻章,3.0,tue09-12 tue 09 10 11,,,大智190101,國貿系,必/Required,,否/No,
,,000219552,經濟學,Economics,饒秀華,3.0,wed09-12 wed 09 10 11,,,研究250105,國貿系,必/Required,,否/No,
,,000219562,經濟學,Economics,荒井夏來,3.0,wed13-16 wed 13 14 15,,,商館260205,國貿系,必/Required,,否/No,
,,000219572,經濟學,Economics,廖四郎,3.0,wed13-16 wed 13 14 15,,,商館260106,國貿系,必/Required,,否/No,
